transaction_id,customer_id,timestamp,amount,transaction_type,merchant_category,location,device_type,account_age_days,transaction_frequency,previous_transaction_amount,distance_from_usual_location,is_fraud
TXN-100009,CUST-1015,2025-01-01 15:07:27,547.42,Online,Grocery & Supermarkets,Pune,Trusted Mobile App (iOS),765,3,351.83,5.11,0
TXN-100015,CUST-1008,2025-01-02 08:14:42,1214.35,POS / In-Store,Dining & Food,Jaipur,Trusted Mobile App (iOS),1496,2,1058.4,1.05,0
TXN-100058,CUST-1011,2025-01-03 22:06:47,620.47,UPI Transfer,Dining & Food,Mumbai,Trusted Mobile App (iOS),1459,2,485.83,6.84,0
TXN-100053,CUST-1016,2025-01-04 08:22:57,1214.39,Online,Dining & Food,Kolkata,Trusted Mobile App (iOS),571,1,818.14,1.7,0
TXN-100019,CUST-1004,2025-01-10 07:05:31,527.86,Online,Healthcare & Medical,Hyderabad,Trusted Mobile App (iOS),1239,1,741.11,29.15,0
TXN-100037,CUST-1014,2025-01-14 14:06:05,803.57,POS / In-Store,Utilities & Bills,Kochi,Trusted Mobile App (iOS),219,3,791.66,37.27,0
TXN-100012,CUST-1003,2025-01-17 09:48:26,518.87,POS / In-Store,Dining & Food,Bengaluru,Desktop Web Browser,239,2,692.0,2.7,0
TXN-100077,CUST-1016,2025-01-18 20:21:13,390.85,UPI Transfer,Healthcare & Medical,Kolkata,Desktop Web Browser,571,2,947.94,2.33,0
TXN-100025,CUST-1019,2025-01-20 13:32:47,897.0,Online,Utilities & Bills,Delhi,Desktop Web Browser,630,2,561.64,16.83,0
TXN-100011,CUST-1001,2025-01-22 17:20:28,572.28,Online,Dining & Food,Delhi,Trusted Mobile App (iOS),1548,3,1033.84,15.05,0
TXN-100027,CUST-1009,2025-01-23 09:56:11,746.54,Online,Utilities & Bills,Jaipur,Trusted Mobile App (Android),481,1,904.26,3.22,0
TXN-100097,CUST-1019,2025-01-26 01:58:24,130742.39,Online,Crypto & Digital Assets,Kolkata,New Emulated Device,530,7,1886.98,358.5,1
TXN-100080,CUST-1018,2025-01-26 10:33:57,1791.61,POS / In-Store,Dining & Food,Jaipur,Trusted Mobile App (iOS),805,3,685.17,12.72,0
TXN-100099,CUST-1015,2025-01-28 02:55:30,271279.92,Wire Transfer,Crypto & Digital Assets,Ahmedabad,Mobile Web Browser,764,11,385.78,826.11,1
TXN-100092,CUST-1019,2025-01-28 15:29:36,1886.98,UPI Transfer,Dining & Food,Delhi,Desktop Web Browser,630,1,1078.11,0.66,0
TXN-100043,CUST-1008,2025-01-29 07:57:56,1095.9,UPI Transfer,Dining & Food,Jaipur,Trusted Mobile App (iOS),1496,1,1464.87,13.98,0
TXN-100022,CUST-1017,2025-01-31 09:54:22,803.18,Online,Healthcare & Medical,Mumbai,Desktop Web Browser,970,1,460.27,10.91,0
